Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Degree,GAD_T,SWL_T,SPIN_T
42052.67053,0,0,0,0,0,0,0,0,4,3,3,3,3,0,1,20.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,1,20,2,1,0,16,39.0
42052.67249,1,0,1,1,0,1,1,1,6,6,6,3,5,4,1,5.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,0,36,1,-1,5,26,31.0
42052.67252,1,0,2,1,0,0,0,0,5,6,4,4,5,1,0,40.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0,19,2,1,4,24,15.0
42052.69086,3,3,3,3,2,0,1,3,1,1,2,2,2,1,1,18.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0,20,2,1,15,8,46.0
42052.69539,1,0,1,0,0,0,0,0,5,5,6,6,5,1,1,8.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0,26,1,-1,2,27,11.0
42052.70229,0,0,0,0,0,2,0,1,5,6,6,6,2,3,1,6.0,8.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,1,22,0,1,2,25,60.0
42052.70754,0,0,0,0,0,1,0,0,2,4,6,6,3,4,1,7.0,4.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,0,25,2,-1,1,21,29.0
42052.72589,2,2,2,2,2,2,2,1,3,4,2,2,2,1,0,18.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0,24,2,1,14,13,13.0
42052.72893,2,1,1,2,0,0,1,1,2,2,2,2,3,1,0,10.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,1,24,2,1,7,11,41.0
42052.75257,0,0,1,2,1,1,0,1,6,7,6,5,3,1,1,20.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,21,2,-1,5,27,8.0
42052.757,2,2,2,2,2,2,2,2,3,6,4,2,2,1,1,10.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,2.0,2.0,1,18,2,1,14,17,24.0
